,Created_at,Text,Clean Text,ID,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,Screen_Name
0,2022-03-21 23:59:31+00:00,"RT @Jero_NOM_Fuck: 🧵1/2

La Asociación Nacional de Estaciones Automáticas (Aesae) ha advertido que la huelga de transporte que ya afecta a…",  1 2  la asociaci n nacional de estaciones autom ticas  aesae  ha advertido que la huelga de transporte que ya afecta a ,1506057953362776069,es,0,31,2013-08-24 19:50:30+00:00,120,False,25623,,,jonupe7
1,2022-03-21 23:58:43+00:00,"Lo que el Gobierno no entiende es que la Huelga del transporte es una huelga de toda España! 500 millones que se perderán por el camino pero tú mientras pagando el gasóleo a 2€, ¿como las ayudas a la Palma?ya nadie os cree, bajada de impuestos o elecciones ya!
#huelgatransportes https://t.co/daG8rNJxAh",lo que el gobierno no entiende es que la huelga del transporte es una huelga de toda espa a  500 millones que se perder n por el camino pero t  mientras pagando el gas leo a 2    como las ayudas a la palma ya nadie os cree  bajada de impuestos o elecciones ya   huelgatransportes  ,1506057750870212608,es,17,16,2011-10-13 12:29:19+00:00,3420,False,46522,España,,grancapitan1977
2,2022-03-21 23:58:08+00:00,"RT @Macca15Paul: #Hora25 #CadenaSER Que dice Margallo que ""las alteraciones del orden público en la huelga de transporte son minoritarias"".…",  hora25  cadenaser que dice margallo que  las alteraciones del orden p blico en la huelga de transporte son minoritarias   ,1506057604396634121,es,0,56,2015-10-14 07:42:36+00:00,3639,False,79840,,,gleditsia66
3,2022-03-21 23:58:06+00:00,"RT @Francis21280450: .
Que dicen los de la ""Platafomma"" del Transporte que hasta que su Señorito, que está cazando, no se lo mandé no suspe…",   que dicen los de la  platafomma  del transporte que hasta que su se orito  que est  cazando  no se lo mand  no suspe ,1506057595664142338,es,0,106,2020-12-02 20:10:58+00:00,505,False,20583,,,MCBARJAT_1970
4,2022-03-21 23:58:03+00:00,"RT @el_pais: 🔴 ÚLTIMA HORA | La Plataforma del Transporte, convocante de la protesta de los camioneros, rechaza el acuerdo con las asociaci…",    ltima hora   la plataforma del transporte  convocante de la protesta de los camioneros  rechaza el acuerdo con las asociaci ,1506057582775083011,es,0,846,2014-08-26 16:56:37+00:00,818,False,21759,,,migueldomingo88
5,2022-03-21 23:57:56+00:00,"RT @AmarillosEspana: 📣 COMUNICADO. 
La Patronal del Transporte por Carretera de Castilla y León se suma a la huelga. Sr @sanchezcastejon ,…",   comunicado   la patronal del transporte por carretera de castilla y le n se suma a la huelga  sr     ,1506057553058439173,es,0,2180,2015-02-03 19:19:28+00:00,80,False,35127,,,maribelggarcia1
10,2022-03-21 23:57:47+00:00,"@el_pais Lo que el Gobierno no entiende es que la Huelga del transporte es una huelga de toda España! 500 millones que se perderán por el camino pero tú mientras pagando el gasóleo a 2€, ¿como las ayudas a la Palma?ya nadie os cree, bajada de impuestos o elecciones ya!
#huelgatransportes https://t.co/BhsaA1F7oS",  pais lo que el gobierno no entiende es que la huelga del transporte es una huelga de toda espa a  500 millones que se perder n por el camino pero t  mientras pagando el gas leo a 2    como las ayudas a la palma ya nadie os cree  bajada de impuestos o elecciones ya   huelgatransportes  ,1506057514789613573,es,19,3,2011-10-13 12:29:19+00:00,3420,False,46522,España,,grancapitan1977
13,2022-03-21 23:57:06+00:00,RT @Agencia_FARO: España. La Plataforma de Defensa del Sector del Transporte de Mercancías por Carretera desmiente que el Ministerio de Tra…, espa a  la plataforma de defensa del sector del transporte de mercanc as por carretera desmiente que el ministerio de tra ,1506057345381580802,es,0,2,2013-04-28 15:25:10+00:00,956,False,25291,,,manuel__mgs
14,2022-03-21 23:57:05+00:00,"@natiol77 Me encanta.. hay más empresas de transporte que camioneros por lo visto.
Porque hasta hace dos días eran 100 mil camioneros de la patronal.
Ahora cuadra porque la huelga.. se revientan el mercado entre ellos",  me encanta   hay m s empresas de transporte que camioneros por lo visto  porque hasta hace dos d as eran 100 mil camioneros de la patronal  ahora cuadra porque la huelga   se revientan el mercado entre ellos,1506057338746200066,es,0,0,2022-03-18 17:04:30+00:00,8,False,190,,,Ivi_ortz
17,2022-03-21 23:55:37+00:00,"RT @andresmt96: UE: Hay que fomentar el uso del ferrocarril para el tráfico de mercancías hacia el 30% para 2030.

España: 95% del transpor…", ue  hay que fomentar el uso del ferrocarril para el tr fico de mercanc as hacia el 30  para 2030   espa a  95  del transpor ,1506056971060924422,es,0,42,2011-11-22 18:16:07+00:00,915,False,28593,,,ManelFerri
22,2022-03-21 23:54:14+00:00,"RT @MarDGamero: Los sindicatos, esos a los que el Gobierno regó con 14 Millones de euros en 2021, con 17 en 2022 y que van a reformar sus s…", los sindicatos  esos a los que el gobierno reg  con 14 millones de euros en 2021  con 17 en 2022 y que van a reformar sus s ,1506056623395065856,es,0,1561,2013-09-16 11:55:19+00:00,10,False,4599,,,argos9211
29,2022-03-21 23:53:30+00:00,RT @elmundoes: Gasolineras de Andalucía y Levante comienzan a sufrir problemas de suministro por la huelga de transporte https://t.co/czuXz…, gasolineras de andaluc a y levante comienzan a sufrir problemas de suministro por la huelga de transporte  ,1506056437138657284,es,0,25,2011-12-05 19:15:26+00:00,1181,False,30180,"Albacete, España",,ChambisRueda
30,2022-03-21 23:53:25+00:00,"RT @alfonso_poza: Como habrá sido la reunión del gobierno con la Plataforma del Transporte que esta misma noche Fenadismer, que integra 32.…", como habr  sido la reuni n del gobierno con la plataforma del transporte que esta misma noche fenadismer  que integra 32  ,1506056417173770240,es,0,20,2016-05-15 11:06:47+00:00,353,False,118125,"Comunidad Valenciana, España",,FotoDg_Vlc
32,2022-03-21 23:52:46+00:00,"RT @RCR750: EsNoticia en España la Plataforma del Transporte, convocante de la protesta de los camioneros, rechaza el acuerdo con las asoci…", esnoticia en espa a la plataforma del transporte  convocante de la protesta de los camioneros  rechaza el acuerdo con las asoci ,1506056251654000640,es,0,3,2009-09-27 23:47:54+00:00,1233,False,38405,"League City, TX",,tucutu_cd
33,2022-03-21 23:51:59+00:00,"RT @granadadigital: 📹VÍDEO📹

🛣️🚚 #Granada | Alrededor de medio millar de vehículos se han sumado este lunes a la huelga del transporte conv…",  v deo        granada   alrededor de medio millar de veh culos se han sumado este lunes a la huelga del transporte conv ,1506056055096287237,es,0,3,2016-02-17 11:04:25+00:00,158,False,1322,"Granada, España",,NunezGarciaR
36,2022-03-21 23:51:34+00:00,"La huelga de transporte amenaza a comedores escolares, hospitales y residencias https://t.co/ERVi4kbawX",la huelga de transporte amenaza a comedores escolares  hospitales y residencias  ,1506055951752871937,es,0,0,2014-06-15 21:58:31+00:00,116,False,18,Calle Alonso Canos 66,,alcampss
38,2022-03-21 23:51:08+00:00,RT @Jero_NOM_Fuck: La asociación de transportistas ATRADIS de La Rioja también convoca una huelga por la «desbocada» subida del precio del…, la asociaci n de transportistas atradis de la rioja tambi n convoca una huelga por la  desbocada  subida del precio del ,1506055843015442432,es,0,29,2012-09-24 06:47:53+00:00,6180,False,21119,,,el_lobo9
47,2022-03-21 23:47:40+00:00,"RT @bohemia21850503: El gobierno negocia la huelga del transporte con este señor ""Carmelo González"", como veis pinta de camionero...
Un gob…", el gobierno negocia la huelga del transporte con este se or  carmelo gonz lez   como veis pinta de camionero    un gob ,1506054970306662403,es,0,23,2021-04-01 00:27:46+00:00,431,False,35677,,,Carola25684027
48,2022-03-21 23:47:35+00:00,"RT @El_8ichal: En su ánimo de terminar con la huelga de camioneros, la ministra de transportes se reúne con los empresarios de transporte q…", en su  nimo de terminar con la huelga de camioneros  la ministra de transportes se re ne con los empresarios de transporte q ,1506054946961170435,es,0,116,2011-11-07 23:01:04+00:00,61,False,327,"Valencia, Spain",,SalvadorMillet
52,2022-03-21 23:43:26+00:00,"@MaykaPonce Si que estamos mal. En términos económicos: si una empresa presentase los números de España,se diría que estaba en quiebra técnica. Y se agravará aún más. La ministra ofrecen 500 millones para parar la huelga del transporte. Y 20 mil millones al M/de Igualdad, para chupar coños.",  si que estamos mal  en t rminos econ micos  si una empresa presentase los n meros de espa a se dir a que estaba en quiebra t cnica  y se agravar  a n m s  la ministra ofrecen 500 millones para parar la huelga del transporte  y 20 mil millones al m de igualdad  para chupar co os ,1506053903074353155,es,1,0,2016-11-07 20:43:35+00:00,93,False,1229,"Galicia, España",,Primiti48133593
55,2022-03-21 23:42:32+00:00,"Última hora de la huelga de camioneros en España, en directo: Grandes patronales se suman a la huelga de transporte: https://t.co/kmqh5VV4pp https://t.co/NjgPEDnO53", ltima hora de la huelga de camioneros en espa a  en directo  grandes patronales se suman a la huelga de transporte     ,1506053678314184704,es,0,1,2020-04-13 10:25:12+00:00,1618,False,8864,,,BizcaLey
61,2022-03-21 23:41:15+00:00,"RT @Jose96699703: Última hora de la huelga de camioneros en España, en directo: Grandes patronales se suman a la huelga de transporte: http…",  ltima hora de la huelga de camioneros en espa a  en directo  grandes patronales se suman a la huelga de transporte  http ,1506053355596095496,es,0,1,2020-06-01 20:10:03+00:00,742,False,83815,Madrid,,Mara95837144
62,2022-03-21 23:40:46+00:00,"RT @El__Yayo: Anda, una huelga de verdad, no como el paro patronal del transporte.", anda  una huelga de verdad  no como el paro patronal del transporte ,1506053233445412867,es,0,40,2011-04-04 19:12:06+00:00,690,False,12383,No frontiers,,Ludwiglus
65,2022-03-21 23:40:19+00:00,"RT @AmarillosEspana: 🔴ÚLTIMA HORA. 
Numerosas plataformas del sector del transporte por carretera, se unen a la huelga,entre ellas @fenadis…",   ltima hora   numerosas plataformas del sector del transporte por carretera  se unen a la huelga entre ellas   ,1506053120991891456,es,0,159,2021-07-22 15:54:09+00:00,574,False,28041,,,Elfindelosmun2
71,2022-03-21 23:39:30+00:00,"@cucherete @gabrielrufian A eso voy. Entonces que no lo llamen huelga.
Confunden a la gente con todo, con la política, guerras, comunicados, que hablen claro.
A qué se tuvieron que añadir pp, vox, los cazadores, toreros.. Si es por el transporte y el precio del combustible.
Pais de oportunistas, coño.",    a eso voy  entonces que no lo llamen huelga  confunden a la gente con todo  con la pol tica  guerras  comunicados  que hablen claro  a qu  se tuvieron que a adir pp  vox  los cazadores  toreros   si es por el transporte y el precio del combustible  pais de oportunistas  co o ,1506052915231965185,es,5,0,2012-09-24 11:00:05+00:00,1893,False,74701,,,Moni_garca
76,2022-03-21 23:38:56+00:00,"RT @SprigganSnake: @raquelsjimenez No tienes vergüenza señora ministra de transporte. La huelga no se para, lo único que puedes prometer es…",   no tienes verg enza se ora ministra de transporte  la huelga no se para  lo  nico que puedes prometer es ,1506052772856320007,es,0,5,2014-08-05 10:11:42+00:00,63,False,3228,"Málaga, España",,Aeloru
78,2022-03-21 23:38:42+00:00,"RT @andreitav92: Esto es insostenible,es una ruina ya,a estos precios es imposible trabajar!!
Así en España:huelga de transporte,desabasto,…", esto es insostenible es una ruina ya a estos precios es imposible trabajar   as  en espa a huelga de transporte desabasto  ,1506052713829871619,es,0,1017,2011-08-27 03:45:31+00:00,34,False,1004,,,petterazhul
79,2022-03-21 23:38:42+00:00,"RT @BizcaLey: a ESTA le suda el COÑO los CAMIONEROS.

Última hora de la huelga de camioneros en España, en directo: Grandes patronales se s…", a esta le suda el co o los camioneros    ltima hora de la huelga de camioneros en espa a  en directo  grandes patronales se s ,1506052713678884874,es,0,3,2020-04-13 10:25:12+00:00,1618,False,8864,,,BizcaLey
81,2022-03-21 23:38:22+00:00,RT @PlusArcano: Habrá que pensar cómo llamar a esta “pseudo huelga” (ilegal) financiada por asociación minoritaria de transportistas y con…, habr  que pensar c mo llamar a esta  pseudo huelga   ilegal  financiada por asociaci n minoritaria de transportistas y con ,1506052630933614597,es,0,1,2012-11-12 13:06:56+00:00,56,False,364,,,REVISCOLAT
82,2022-03-21 23:37:49+00:00,Gasolineras de Andalucía y Levante comienzan a sufrir problemas de suministro por la huelga de transporte https://t.co/czuXz6Jkze,gasolineras de andaluc a y levante comienzan a sufrir problemas de suministro por la huelga de transporte  ,1506052489493237765,es,35,25,2008-04-18 18:29:25+00:00,4195642,True,2703,España,,elmundoes
84,2022-03-21 23:37:42+00:00,"@Madridiario Ha sido una reunión tan espectacular, que se han unido mas federaciones de transporte a la huelga…
Otro éxito más para el gobierno",  ha sido una reuni n tan espectacular  que se han unido mas federaciones de transporte a la huelga  otro  xito m s para el gobierno,1506052459235532805,es,0,0,2020-07-22 09:09:00+00:00,1,False,15,"Comunidad de Madrid, España",,Elrepar44124548
87,2022-03-21 23:36:38+00:00,RT @IaPipiIoIa: Os digo una cosa si que la huelga de transporte sea total e indefinida depende de nuestro gobierno ya podéis tener la despe…, os digo una cosa si que la huelga de transporte sea total e indefinida depende de nuestro gobierno ya pod is tener la despe ,1506052190829518849,es,0,35,2017-07-03 10:05:44+00:00,21,False,4436,,,AntonioIllanesj
90,2022-03-21 23:35:45+00:00,"RT @egtegain: HUELGA DE TRANSPORTISTAS, QUE NO TE MANIPULEN.

HILO👇

1/3.Declaraciones del Presidente de la Plataforma Nacional en Defensa…", huelga de transportistas  que no te manipulen   hilo   1 3 declaraciones del presidente de la plataforma nacional en defensa ,1506051970917969922,es,0,60,2019-08-08 12:03:29+00:00,25,False,8264,"País Vasco, España",,canisvulpix
92,2022-03-21 23:35:14+00:00,"@PSOE Si eso,cuando lo veáis conveniente,hablar con los convocantes de la huelga,xq negociar con la prima del pueblo arregla poco..
Mesentiende no?se han unido a la huelga más empresas del transporte en bloque..
X cierto,ésto q tal?
https://t.co/Muk1F5auFX",  si eso cuando lo ve is conveniente hablar con los convocantes de la huelga xq negociar con la prima del pueblo arregla poco   mesentiende no se han unido a la huelga m s empresas del transporte en bloque   x cierto  sto q tal   ,1506051840516964352,es,2,1,2018-03-26 17:35:24+00:00,3136,False,67891,,,News_lezo
94,2022-03-21 23:34:35+00:00,"RT @El_Sebi3: El gobierno le ofrece 500 millones al transporte para que dejen la huelga.
1- Ese dinero irá a la patronal y los autónomos no…", el gobierno le ofrece 500 millones al transporte para que dejen la huelga  1  ese dinero ir  a la patronal y los aut nomos no ,1506051678130388997,es,0,33,2014-12-14 09:46:26+00:00,235,False,20503,"Cataluña, España",,gobiernosaquea1
95,2022-03-21 23:34:27+00:00,"@raquelsjimenez Que acuerdo si mañana hay más transportistas de huelga que hoy, pero usted sabe de que va esto del transporte o se lo ha contado un amigo y tal…Dimita váyase a su casa que está no es su guerra y que venga a negociar alguien que sepa transporte, @sanchezcastejon NO que sabe menos",  que acuerdo si ma ana hay m s transportistas de huelga que hoy  pero usted sabe de que va esto del transporte o se lo ha contado un amigo y tal dimita v yase a su casa que est  no es su guerra y que venga a negociar alguien que sepa transporte    no que sabe menos,1506051642633953280,es,0,0,2012-03-21 00:50:43+00:00,318,False,7256,,,TABERNAANIMAS
97,2022-03-21 23:33:58+00:00,RT @JuanjoMorodo: ‘La #banca cierra una de cada tres oficinas en los últimos cinco años’; el #Gobierno intenta parar la #huelga del transpo…,  la  banca cierra una de cada tres oficinas en los  ltimos cinco a os   el  gobierno intenta parar la  huelga del transpo ,1506051520000716802,es,0,2,2010-05-31 19:53:44+00:00,2653,False,15999,"Asuncion, Paraguay",,esampras
104,2022-03-21 23:33:02+00:00,"Última hora de la huelga de camioneros en España, en directo: Grandes patronales se suman a la huelga de transporte: https://t.co/DLcyLJ7PqJ", ltima hora de la huelga de camioneros en espa a  en directo  grandes patronales se suman a la huelga de transporte   ,1506051288374689801,es,2,1,2020-05-29 17:00:04+00:00,463,False,15844,Valencia,,Jose96699703
106,2022-03-21 23:32:49+00:00,"@Maytelam @raquelsjimenez Tranquila Maria Teresa, al ritmo que van en dos dias no haran falta ni piquetes porque el 100% del transporte estara de huelga.",    tranquila maria teresa  al ritmo que van en dos dias no haran falta ni piquetes porque el 100  del transporte estara de huelga ,1506051232879816710,es,6,0,2010-09-21 21:20:26+00:00,231,False,7499,"Santander, España",,elfary28
110,2022-03-21 23:31:46+00:00,Huelga del transporte: Las claves de la huelga de los transportistas | Economía | EL PAÍS #HuelgaTransporte  https://t.co/bTJg6zKH6J,huelga del transporte  las claves de la huelga de los transportistas   econom a   el pa s  huelgatransporte   ,1506050970014343179,es,0,0,2022-03-16 22:23:59+00:00,6,False,97,,,martaagg15
118,2022-03-21 23:29:35+00:00,RT @IzquierdaRevol: Se ha cumplido más de una semana desde el inicio del paro del sector del transporte por carretera y sus consecuencias y…, se ha cumplido m s de una semana desde el inicio del paro del sector del transporte por carretera y sus consecuencias y ,1506050418098458632,es,0,22,2018-09-14 15:47:51+00:00,547,False,23977,"Sevilla, Andalucía",,ox0a_
120,2022-03-21 23:28:38+00:00,"Hablamos de la huelga del transporte en su primera semana de paros, del plan que prepara el Gobierno y de lo que nos jugamos con el gas de #Argelia 🇩🇿 tras la nueva propuesta del #Sahara 🇪🇭 @DebatAlRojoVivo @laSextaTV 👇👇 https://t.co/R4rPQ14dkd",hablamos de la huelga del transporte en su primera semana de paros  del plan que prepara el gobierno y de lo que nos jugamos con el gas de  argelia    tras la nueva propuesta del  sahara            ,1506050178968604674,es,3,0,2010-11-02 17:51:12+00:00,1950,False,1389,"Madrid, Comunidad de Madrid",,jmcamarero
124,2022-03-21 23:28:11+00:00,"RT @egtegain: Porqué la Plataforma Nacional en Defensa del Transporte que ha convocado la Huelga y aún la mantiene, no quiere nada con CETM…", porqu  la plataforma nacional en defensa del transporte que ha convocado la huelga y a n la mantiene  no quiere nada con cetm ,1506050065600765952,es,0,108,2019-08-08 12:03:29+00:00,25,False,8264,"País Vasco, España",,canisvulpix
125,2022-03-21 23:28:04+00:00,"La patronal del transporte convoca una huelga indefinida bajo el ala y el azote de V0x. Horas después, V0x rechaza unirse a las negociaciones con el Gobierno y vota en contra de un plan de más de 500 millones de euros para ayudar al sector del camión.",la patronal del transporte convoca una huelga indefinida bajo el ala y el azote de v0x  horas despu s  v0x rechaza unirse a las negociaciones con el gobierno y vota en contra de un plan de m s de 500 millones de euros para ayudar al sector del cami n ,1506050038522331136,es,0,0,2011-06-15 23:03:28+00:00,371,False,3352,"Brooklyn, NY",,AdrideVera
140,2022-03-21 23:25:48+00:00,"@Macarena_Olona @interiorgob Es una vergüenza que el Gobierno de España, el mismo que dijo que no dejaria a nadie atras, no se siente hablar con el sector de transporte, en huelga, los criminaliza e insulta!",  olona   es una verg enza que el gobierno de espa a  el mismo que dijo que no dejaria a nadie atras  no se siente hablar con el sector de transporte  en huelga  los criminaliza e insulta ,1506049464749940736,es,1,0,2019-02-28 05:20:04+00:00,22,False,618,"Murcia, España",,josemsgtpharma
141,2022-03-21 23:25:41+00:00,"Soy de la España Vacilada, en mi pueblo, todos estamos con la huelga del transporte. Se escuchan cosas como: no nos llegan tales cosas, vamos a tener que parar. Unas veces es por el material, otras es por el precio del gasoil. Pero también... (Sigo)",soy de la espa a vacilada  en mi pueblo  todos estamos con la huelga del transporte  se escuchan cosas como  no nos llegan tales cosas  vamos a tener que parar  unas veces es por el material  otras es por el precio del gasoil  pero tambi n     sigo ,1506049437080162309,es,0,0,2021-10-21 10:11:42+00:00,7,False,879,,,TheLillens
143,2022-03-21 23:25:01+00:00,"RT @Spanish_Revo: 🎥 Vídeo

Javier Ruiz @Ruiz_Noticias y la huelga de transporte
https://t.co/3GWzP213Bq https://t.co/mOZTP0KgCQ",   v deo  javier ruiz   noticias y la huelga de transporte    ,1506049270406856706,es,0,4,2012-05-02 07:56:31+00:00,1436,False,127597,,,haztelofacil
144,2022-03-21 23:24:18+00:00,"Estas son las claves de la huelga de transportistas de mercancías 🚛

#paro #huelga #transporte  #huelgatransportemercancias #actualidad #noticiasAJ https://t.co/rcJlneAe19",estas son las claves de la huelga de transportistas de mercanc as     paro  huelga  transporte   huelgatransportemercancias  actualidad  noticiasaj  ,1506049087182938115,es,0,1,2016-03-22 15:54:34+00:00,492,False,323,"Madrid, Comunidad de Madrid",,actualjoven
145,2022-03-21 23:23:52+00:00,"RT @MartenCousland: @gabrielrufian 1) VOX no tiene nada q ver.
2) Quien convoca huelga es Plataforma xa la Defensa del Transporte de Mercan…",   1  vox no tiene nada q ver  2  quien convoca huelga es plataforma xa la defensa del transporte de mercan ,1506048981046108161,es,0,18,2012-01-24 23:08:50+00:00,945,False,17788,"A Coruña, Galicia",,flicki123
153,2022-03-21 23:22:20+00:00,"RT @jucilnacional: El Ministerio del Interior ha dado un paso más en el intento del Gobierno de demonizar la huelga de transportistas.

#JU…", el ministerio del interior ha dado un paso m s en el intento del gobierno de demonizar la huelga de transportistas    ju ,1506048592645079051,es,0,224,2012-01-31 11:21:57+00:00,4187,False,48964,"Sevilla, España",,MCarmenSalasC
155,2022-03-21 23:22:12+00:00,"RT @CorralesMiguelm: Llevamos unos días, en que una parte de la patronal del transporte,  ¿confundidos o engañados? por ideologos fachas de…", llevamos unos d as  en que una parte de la patronal del transporte    confundidos o enga ados  por ideologos fachas de ,1506048561158533129,es,0,186,2015-02-21 16:16:33+00:00,563,False,6587,"Sevilla, Andalucía",,mjosevegarodri1
156,2022-03-21 23:22:08+00:00,"Esta claro que en esta huelga,paro patronal, desfile, manifestación y mundo rural,transporte, gasolina,banderitas,caballos....
Muchos de sus manifestantes se jugaban su puesto de trabajo.",esta claro que en esta huelga paro patronal  desfile  manifestaci n y mundo rural transporte  gasolina banderitas caballos     muchos de sus manifestantes se jugaban su puesto de trabajo ,1506048543999541249,es,5,0,2021-11-14 18:21:39+00:00,117,False,2908,,,francis24268647
158,2022-03-21 23:22:01+00:00,RT @MarDGamero: El Gobierno ha ordenado multar a los huelguistas del transporte por “reunión ilegal” si hay más de 20 huelguistas concentra…, el gobierno ha ordenado multar a los huelguistas del transporte por  reuni n ilegal  si hay m s de 20 huelguistas concentra ,1506048515524411394,es,0,1063,2012-01-31 11:21:57+00:00,4187,False,48964,"Sevilla, España",,MCarmenSalasC
159,2022-03-21 23:21:59+00:00,"RT @News_lezo: Mañana se unen mas a la huelga como apoyo al transporte y no al gobierno,xq siguen engañando a los españoles?han rechazado e…", ma ana se unen mas a la huelga como apoyo al transporte y no al gobierno xq siguen enga ando a los espa oles han rechazado e ,1506048505508515846,es,0,1,2021-04-19 22:59:12+00:00,397,False,5947,Córdoba 🇪🇦,,_Dkperez_
160,2022-03-21 23:21:53+00:00,"RT @ArcadeNoeSevill: La huelga de transporte nos está afectando, ya que el pienso que debería haber llegado la semana pasada aún no ha lleg…", la huelga de transporte nos est  afectando  ya que el pienso que deber a haber llegado la semana pasada a n no ha lleg ,1506048480267096068,es,0,12,2015-01-29 17:09:22+00:00,414,False,42064,,,BillaultNadine
161,2022-03-21 23:21:47+00:00,RT @libre_mercado: La huelga de transporte llega a una encrucijada: o acuerdo o paro general https://t.co/UKLN1E7j2U, la huelga de transporte llega a una encrucijada  o acuerdo o paro general  ,1506048456808452096,es,0,32,2010-11-23 22:59:30+00:00,1103,False,239242,"Madrid, Comunidad de Madrid",,JLBuenoMendez
170,2022-03-21 23:20:05+00:00,"RT @gonzalogh762: ¿Os vais dando cuenta de las prioridades de los socialcomunistas?

20.000 M€ para sus adoctrinamientos de género, pero of…",  os vais dando cuenta de las prioridades de los socialcomunistas   20 000 m  para sus adoctrinamientos de g nero  pero of ,1506048028330934276,es,0,51,2017-03-07 19:36:30+00:00,135,False,17944,Más allá del muro. VK.,,SuazoDev
171,2022-03-21 23:19:50+00:00,"RT @DiarioSUR: 🚛 #HUELGATRANSPORTE

⛽ Las gasolineras automáticas acusan desabastecimiento. https://t.co/w2u0MKOf1A",    huelgatransporte    las gasolineras autom ticas acusan desabastecimiento   ,1506047963855998981,es,0,1,2012-08-06 12:31:35+00:00,94,False,1922,"Málaga, España",,Mushu_flores
173,2022-03-21 23:19:33+00:00,@psibpsoe @UGTIllesBalears @CCOOBalears @rubencastroo5 @jsibalears @pauroigmas Y vosotros os atrevéis a decir que la huelga del transporte es de ultraderecha ?? Y esta manifestación de qué es ?? De Epi y Blas ..?,            y vosotros os atrev is a decir que la huelga del transporte es de ultraderecha    y esta manifestaci n de qu  es    de epi y blas    ,1506047892427096071,es,2,0,2018-09-11 12:23:45+00:00,1123,False,19465,"Alcudia, Mallorca",,miquelramis23
179,2022-03-21 23:18:50+00:00,"Mañana se unen mas a la huelga como apoyo al transporte y no al gobierno,xq siguen engañando a los españoles?han rechazado el soborno,veremos mañana si habéis hablado realmente con quiénes tenéis que hablar,o mienten en el gobierno.
https://t.co/hMzpiTpY6L",ma ana se unen mas a la huelga como apoyo al transporte y no al gobierno xq siguen enga ando a los espa oles han rechazado el soborno veremos ma ana si hab is hablado realmente con qui nes ten is que hablar o mienten en el gobierno   ,1506047714529792003,es,2,1,2018-03-26 17:35:24+00:00,3136,False,67891,,,News_lezo
180,2022-03-21 23:18:47+00:00,"a ESTA le suda el COÑO los CAMIONEROS.

Última hora de la huelga de camioneros en España, en directo: Grandes patronales se suman a la huelga de transporte: https://t.co/kmqh5VV4pp https://t.co/CLqbkEkK2f",a esta le suda el co o los camioneros    ltima hora de la huelga de camioneros en espa a  en directo  grandes patronales se suman a la huelga de transporte     ,1506047701162602506,es,1,3,2020-04-13 10:25:12+00:00,1618,False,8864,,,BizcaLey
193,2022-03-21 23:15:25+00:00,"RT @Laperla87022871: Última hora de la huelga de camioneros en España, en directo: Grandes patronales se suman a la huelga de transporte: h…",  ltima hora de la huelga de camioneros en espa a  en directo  grandes patronales se suman a la huelga de transporte  h ,1506046855129534475,es,0,1,2017-09-21 15:29:45+00:00,1297,False,18751,España,,jose_miguel66
195,2022-03-21 23:15:12+00:00,"RT @Spanish_Revo: #Vídeo | Javier Ruiz y la huelga de transporte
https://t.co/3GWzP213Bq https://t.co/pHR5XiTZxu",  v deo   javier ruiz y la huelga de transporte    ,1506046798237999112,es,0,13,2012-02-08 23:46:08+00:00,1551,False,126932,HOYA-GONZALO ( ALBACETE ),,CHACHE_DIONI
196,2022-03-21 23:15:08+00:00,"Es la hora de sacar a SANCHINFLAS de Moncloa de modo definitivo, aunque tengamos que pasar hambre unos cuantos días por desabastecimiento. Todo mi apoyo a la huelga del transporte y a los camioneros.Hasta aquí hemos llegado. Se acabó lo que se daba, SANCHINFLAS-títere globalista.",es la hora de sacar a sanchinflas de moncloa de modo definitivo  aunque tengamos que pasar hambre unos cuantos d as por desabastecimiento  todo mi apoyo a la huelga del transporte y a los camioneros hasta aqu  hemos llegado  se acab  lo que se daba  sanchinflas t tere globalista ,1506046780030558214,es,10,5,2015-01-07 12:53:05+00:00,3642,False,125348,Español por los 4 costados,,ratiocordis
219,2022-03-21 23:08:54+00:00,"RT @nocierresvive: 🤔,... ¿No hay huelga?

📥 🔥 ➡️ marcha lenta de camiones por Huelva por la #huelgadetransportes

📥 ➡️ La Asociación Nacion…",        no hay huelga          marcha lenta de camiones por huelva por la  huelgadetransportes       la asociaci n nacion ,1506045214099746821,es,0,2,2011-09-18 11:30:10+00:00,744,False,24015,Del Mundo Mundial,,mayvasa03
222,2022-03-21 23:08:32+00:00,"RT @aidapedrxsa: se retira daddyy yankee y van a dejar de hacer cerveza estrella galicia por la huelga de transporte, acaso hoy es el día m…", se retira daddyy yankee y van a dejar de hacer cerveza estrella galicia por la huelga de transporte  acaso hoy es el d a m ,1506045119597797379,es,0,1,2015-10-17 10:38:57+00:00,386,False,7285,"Encinas Reales, España",,gabrigonzalez26
227,2022-03-21 23:07:37+00:00,"RT @FritzVaar: @PSOE Y al resto de los españoles que nos den por saco. Pues nada, todos los que curramos en otros eectores que no son trans…",   y al resto de los espa oles que nos den por saco  pues nada  todos los que curramos en otros eectores que no son trans ,1506044892031639553,es,0,17,2012-12-12 15:18:48+00:00,3081,False,157614,,,Lurlancelot
